         5027 function calls (4238 primitive calls) in 0.005 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fce3554acc0}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 copy.py:273(<genexpr>)
        2    0.000    0.000    0.000    0.000 math42.py:20(subtract)
        1    0.000    0.000    0.000    0.000 function_node.py:13(__init__)
        1    0.000    0.000    0.000    0.000 expression.py:31(evaluate)
        1    0.000    0.000    0.000    0.000 function_node.py:29(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        5    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


